distrito,sector,uso_grupo,compatibilidad_desc,conteo
B7,B - Nacionalista-Orizaba,Agricola,No permitida,7
B7,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,66
B7,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,16
B7,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,12
B7,B - Nacionalista-Orizaba,Equipamiento,Compatible,41
B7,B - Nacionalista-Orizaba,Equipamiento,Condicionada,3
B7,B - Nacionalista-Orizaba,Equipamiento,No permitida,25
B7,B - Nacionalista-Orizaba,Habitacional,Compatible,10
B7,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B7,B - Nacionalista-Orizaba,Industrial,Compatible,7
B7,B - Nacionalista-Orizaba,Industrial,Condicionada,8
B7,B - Nacionalista-Orizaba,Industrial,No permitida,18
B7,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B7,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B7,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
C1,C - Central,Agricola,No permitida,7
C1,C - Central,Comercio y servicios,Compatible,66
C1,C - Central,Comercio y servicios,Condicionada,20
C1,C - Central,Comercio y servicios,No permitida,8
C1,C - Central,Equipamiento,Compatible,42
C1,C - Central,Equipamiento,Condicionada,9
C1,C - Central,Equipamiento,No permitida,18
C1,C - Central,Habitacional,Compatible,8
C1,C - Central,Habitacional,Condicionada,2
C1,C - Central,Habitacional,No permitida,4
C1,C - Central,Industrial,Compatible,12
C1,C - Central,Industrial,Condicionada,9
C1,C - Central,Industrial,No permitida,12
C1,C - Central,Infraestructura,Compatible,4
C1,C - Central,Infraestructura,Condicionada,3
C1,C - Central,Infraestructura,No permitida,3
C10,C - Central,Agricola,No permitida,7
C10,C - Central,Comercio y servicios,Compatible,26
C10,C - Central,Comercio y servicios,Condicionada,26
C10,C - Central,Comercio y servicios,No permitida,42
C10,C - Central,Equipamiento,Compatible,16
C10,C - Central,Equipamiento,No permitida,53
C10,C - Central,Habitacional,Condicionada,8
C10,C - Central,Habitacional,No permitida,6
