anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z1,B,MXHA,BC,A,BAJA CALIFORNIA,1620.0,MXHABCA,MXHABCA
2026,Z1,B,MXHA,CF,A,27 DE SEPTIEMBRE,2970.0,MXHACFA,MXHACFA
2026,Z1,B,MXHA,CP,A,EL PORVENIR,1080.0,MXHACPA,MXHACPA
2026,Z1,B,MXHA,DQ,A,MÁRTIRES DE LA DEMOCRACIA,810.0,MXHADQA,MXHADQA
2026,Z1,B,MXHA,EE,A,ELIGIO ESQUIVEL,675.0,MXHAEEA,MXHAEEA
2026,Z1,B,MXHA,EO,A,ORIZABA,1620.0,MXHAEOA,MXHAEOA
2026,Z1,B,MXHA,FF,A,FRONTERIZA,1080.0,MXHAFFA,MXHAFFA
2026,Z1,B,MXHA,FG,A,GASCA,1080.0,MXHAFGA,MXHAFGA
2026,Z1,B,MXHA,FJ,A,MISIÓN DE SAN FRANCISCO JAVIER,1620.0,MXHAFJA,MXHAFJA
2026,Z1,B,MXHA,FO,A,ORIZABA,1620.0,MXHAFOA,MXHAFOA
2026,Z1,B,MXHA,GW,A,GRANJAS EL REFUGIO,675.0,MXHAGWA,MXHAGWA
2026,Z1,B,MXHA,GY,A,LAS MARGARITAS,810.0,MXHAGYA,MXHAGYA
2026,Z1,B,MXHA,HO,A,HACIENDA DE ORIZABA,810.0,MXHAHOA,MXHAHOA
2026,Z1,B,MXHA,IF,A,RESIDENCIAL SAN FRANCISCO,2700.0,MXHAIFA,MXHAIFA
2026,Z1,B,MXHA,IG,A,CACHANILLA,1080.0,MXHAIGA,MXHAIGA
2026,Z1,B,MXHA,KC,A,EJIDATARIOS,1080.0,MXHAKCA,MXHAKCA
2026,Z1,B,MXHA,KK,A,VILLA DEL FRESNO,810.0,MXHAKKA,MXHAKKA
2026,Z1,B,MXHA,KS,A,CARLOS SALINAS,1215.0,MXHAKSA,MXHAKSA
2026,Z1,B,MXHA,KT,A,LAS PALMERAS,810.0,MXHAKTA,MXHAKTA
2026,Z1,B,MXHA,LN,A,LUCERNA,1215.0,MXHALNA,MXHALNA
2026,Z1,B,MXHA,LQ,A,LUIS DONALDO COLOSIO,1080.0,MXHALQA,MXHALQA
2026,Z1,B,MXHA,LS,A,LUCERNA SUR,1215.0,MXHALSA,MXHALSA
2026,Z1,B,MXHA,MB,A,MUNICIPIO LIBRE,1080.0,MXHAMBA,MXHAMBA
2026,Z1,B,MXHA,MH,A,RESIDENCIAL MEDITERRÁNEO,1890.0,MXHAMHA,MXHAMHA
2026,Z1,B,MXHA,MV,A,MISIÓN VIRREYES,1755.0,MXHAMVA,MXHAMVA
