anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2023,,,MCC0,CC001,A,CALZ. GRAL. LÁZARO CÁRDENAS CALZ. LIC. BENITO JUÁREZ - CALZ. LIC. MANUEL GÓMEZ MORÍN,4200.0,MCC001A,MCC001A
2023,,,MCC0,CC002,A,CALZ. DE LAS AMÉRICAS CALZ. JUSTO SIERRA - CALLE RÍO MOCORITO,3700.0,MCC002A,MCC002A
2023,,,MCC0,CC003,A,CALZ. JUSTO SIERRA,5800.0,MCC003A,MCC003A
2023,,,MCC0,CC004,A,CALZ. LIC. BENITO JUÁREZ MONUMENTO BENITO JUÁREZ - CALZ. INDEPENDENCIA,5800.0,MCC004A,MCC004A
2023,Z2,C,MCC0,05,A,CALZ. FCO. L. MONTEJANO CALZ. BENITO JUÁREZ - CALZ. INDEPENDENCIA,4500.0,MCC005A,MCC005A
2023,Z2,C,MCC0,06,A,CALZ. ADOLFO LÓPEZ MATEOS LÍNEA INTERNACIONAL - CALZ. JAMES W. STONE,3200.0,MCC006A,MCC006A
2023,Z2,C,MCC0,06,B,CALZ. ADOLFO LÓPEZ MATEOS JAMES W. STONE - CALLE CALAFIA,3900.0,MCC006B,MCC006B
2023,,,MCC0,CC007,A,CALZ. LIC. BENITO JUÁREZ CALZ. INDEPENDENCIA - CALZ. LÁZARO CÁRDENAS,4500.0,MCC007A,MCC007A
2023,,,MCC0,CC009,A,CALZ. INDEPENDENCIA CALZ. DE LOS PRESIDENTES - CALLE RIO,4000.0,MCC009A,MCC009A
2023,Z2,C,MCC0,10,A,"AV. ZARAGOZA CALLE ""E"" - CALZ. JUSTO SIERRA",4800.0,MCC010A,MCC010A
2023,Z2,C,MCC0,11,A,CALZ. GRAL. LÁZARO CÁRDENAS CALZ. ANÁHUAC - CALZ. ADOLFO LÓPEZ MATEOS,4200.0,MCC011A,MCC011A
2023,Z2,C,MCC0,11,B,CALZ. GRAL. LÁZARO CÁRDENAS CALZ. ADOLFO LÓPEZ MATEOS - CALZ. LIC. BENITO JUÁREZ,3300.0,MCC011B,MCC011B
2023,Z3,D,MCC0,12,A,CALZ. CETYS CALZ. CUAUHTÉMOC - CALZ. LIC. MANUEL GÓMEZ MORÍN,5300.0,MCC012A,MCC012A
2023,Z2,C,MCC0,13,A,CALZ. ANÁHUAC CALZ. ADOLFO LÓPEZ MATEOS - CALZ. DE LOS PRESIDENTES,2700.0,MCC013A,MCC013A
2023,,,MCC0,CC014,A,CALZ. LIC. BENITO JUÁREZ PÁGINA 278 28 DE DICIEMBRE DE 2022. P E R I Ó D I C O O F I C I A L CALZ. LÁZARO CÁRDENAS - MNTO. SÁNCHEZ TABOADA,3300.0,MCC014A,MCC014A
2023,Z2,C,MCC0,15,A,CALZ. ADOLFO LÓPEZ MATEOS CALLE CALAFIA - MONUMENTO GRAL. SÁNCHEZ TABOADA,2700.0,MCC015A,MCC015A
2023,,,MCC0,CC017,A,CALZ. MANUEL GÓMEZ MORÍN LÍNEA INTERNACIONAL - CALZ. CETYS,3000.0,MCC017A,MCC017A
2023,Z3,D,MCC0,18,A,CALLE RÍO MOCORITO CALZ. INDEPENDENCIA - CALZ. GRAL. LÁZARO CÁRDENAS,3000.0,MCC018A,MCC018A
2023,Z3,D,MCC0,18,B,CALLE RÍO MOCORITO PÁGINA 283 28 DE DICIEMBRE DE 2022. P E R I Ó D I C O O F I C I A L CALZ. CUAUHTÉMOC - CALZ. INDEPENDENCIA,3000.0,MCC018B,MCC018B
2023,,,MCC0,CC019,A,CALZ. GRAL. LÁZARO CÁRDENAS CALLE CUARTA - DREN TULA,3300.0,MCC019A,MCC019A
2023,,,MCC0,CC019,B,CALZ. GRAL. LÁZARO CÁRDENAS DREN TULA - CALZ. GUSTAVO VILDÓSOLA,2100.0,MCC019B,MCC019B
2023,,,MCC0,CC020,A,CALZ. GRAL. LÁZARO CÁRDENAS CALZ. HEROICO COLEGIO MILITAR - CALZ. ANÁHUAC,4200.0,MCC020A,MCC020A
2023,Z2,C,MCC0,21,A,CALZ. FCO. L. MONTEJANO CALZ. INDEPENDENCIA - CALZ. LÁZARO CÁRDENAS,4000.0,MCC021A,MCC021A
2023,Z3,D,MCC0,23,A,CALZ. DE LAS AMÉRICAS CALLE RÍO MOCORITO - CALZ. CUAUHTÉMOC,3700.0,MCC023A,MCC023A
2023,Z3,E,MCC0,24,A,CALZ. LÁZARO CÁRDENAS CALZ. LIC. MANUEL GÓMEZ MORÍN - CALLE CUARTA,3300.0,MCC024A,MCC024A
2023,Z2,C,MCC0,25,A,CALZ. ANÁHUAC CALZ. DE LOS PRESIDENTES - CALZ. HECTOR,3400.0,MCC025A,MCC025A
2023,,,MCC0,CC028,A,CALZ. H. COLEGIO MILITAR CALLE SINALOA - CALZ. LÁZARO CÁRDENAS,3200.0,MCC028A,MCC028A
2023,Z3,D,MCC0,29,A,CALZ. CUAUHTÉMOC CALZ. JUSTO SIERRA - CALZ. DE LAS AMÉRICAS,3700.0,MCC029A,MCC029A
2023,Z2,C,MCC0,31,A,CALZ. CASTELLÓN CALZ. ANÁHUAC - CALZ. ADOLFO LÓPEZ MATEOS,1900.0,MCC031A,MCC031A
2023,Z4,H,MCC0,32,A,CALLE NOVENA CALZ. LÁZARO CÁRDENAS - CALZ. GUSTAVO VILDÓSOLA,1800.0,MCC032A,MCC032A
2023,,,MCC0,CC032,B,CALLE NOVENA CALZ. INDEPENDENCIA - CALZ. LÁZARO CÁRDENAS,2700.0,MCC032B,MCC032B
2023,,,MCC0,CC032,C,CALLE NOVENA CALZ. CETYS - CALZ. INDEPENDENCIA,3300.0,MCC032C,MCC032C
2023,Z4,H,MCC0,33,A,CALLE CUARTA CALZ. LÁZARO CÁRDENAS - CALZ. G. VILDÓSOLA,1600.0,MCC033A,MCC033A
